分支,類型,名稱,指令,內容
DEFAULT,TALK,???,,.....................................................。
DEFAULT,TALK,???,,..................................。
DEFAULT,TALK,???,,......。
DEFAULT,TALK,,,女主角緩緩地睜開雙眼。
DEFAULT,TALK,???,,唉......果然又是夢。
DEFAULT,TALK,???,,什麼時候這些夢也能成真呢？
DEFAULT,TALK,,,女主角扶著身旁的樹木爬起來。
DEFAULT,TALK,???,,好想死，又得去工作了。
DEFAULT,TALK,,,女主角向著森林深處走去。
DEFAULT,CHOICE,CLOSE,22,向前走
12,CHOICE,CLOSE,22,向前走
22,TALK,???,,迷霧太濃了，該往哪裡走呢?
22,CHOICE,CLOSE,32,向前走
22,CHOICE,CLOSE,12,向後走
22,CHOICE,CLOSE,21,向右走
21,TALK,???,,迷霧太濃了，該往哪裡走呢?
21,CHOICE,CLOSE,22,向左走
32,TALK,,,遭遇了怪物
32,CHOICE,CLOSE,BATTLE,扁牠
32,CHOICE,CLOSE,33,烙幹
32,TALK,???,,該往哪走呢？
32BATTLE,CHOICE,CLOSE,33,向上走
33,TALK,,,恢復血量35%
33,CHOICE,CLOSE,34,向上走
33,CHOICE,CLOSE,43,向右走
34,CHOICE,CLOSE,BATTLE,扁牠
34,CHOICE,CLOSE,33,烙幹
34BATTLE,CHOICE,END,,離開。
